,,,,Distribution,,,Valuation ,,,Dates,,,,Time,,,Market Capitalization (Coinmarketcap.com),,,,,Token Returns,,,Ether Returns,,,Bitcoin Returns,,,Excess Returns (Arithmetic Avg),,Monthly CAGR,,
Name,status,Type,Raise,Total Amount of tokens,Amount sold in ICO,% Ownership,Project Valuation,Implied Token Price,Implied Token Price Check,Start Date,ICO End Date,Today,Month,Days,Months,Years,Ticker,available_supply,total_supply,Market Cap,Implied Project Valuation,Token Raise,Token Now,Total Return,ETH Raise,ETH Now,ETH Return,BTC Raise,BTC Now,Bitcoin Return,Excess Return ETH,Excess Return BTC,Token,ETH,BTC
BetKing,Failed,Gambling,,,,,,,,12/1/2016,2017-01-01,2017-05-18,Jan17,137,4.566666667,0.3753424658,,,,,,,,,,,,,,,,,,,
BitcoinGo,Failed,Service,,,,,,,,12/10/2016,2017-01-05,2017-05-18,Jan17,133,4.433333333,0.3643835616,,,,,,,,,,,,,,,,,,,
BitGirls,Failed,Media,,,,,,,,10/3/2016,2016-10-31,2017-05-18,Oct16,199,6.633333333,0.5452054795,,,,,,,,,,,,,,,,,,,
Blockfreight,Failed,Logistics,,,,,,,,,,2017-05-18,Dec99,42873,1429.1,117.460274,,,,,,,,,,,,,,,,,,,
BlockPool,Active,Blockchain Infrastructure,,,,,,,,5/1/2017,2017-06-30,2017-05-18,Jun17,-43,-1.433333333,-0.1178082192,,,,,,,,,,,,,,,,,,,
Boscoin,Active,Cryptocurrency,,,,,,,,5/10/2017,2017-06-20,2017-05-18,Jun17,-33,-1.1,-0.0904109589,,,,,,,,,,,,,,,,,,,
Branche,Failed,Lending,,,,,,,,12/5/2016,2017-01-02,2017-05-18,Jan17,136,4.533333333,0.3726027397,,,,,,,,,,,,,,,,,,,
Centz, Postponed ,Gift Card,,,,,,,,3/31/2017,2017-05-30,2017-05-18,May17,-12,-0.4,-0.03287671233,,,,,,,,,,,,,,,,,,,
Chain of Points,Failed,Loyalty Program,,,,,,,,2/26/2017,2017-03-31,2017-05-18,Mar17,48,1.6,0.1315068493,,,,,,,,,,,,,,,,,,,
CruCoins,Planned,Art Monetization,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
Decentralized Capital,Active,Stable Coin Exchange,,,,,,,,21Mar17,2018-01-01,2017-05-18,Jan18,-228,-7.6,-0.6246575342,,,,,,,,,,,,,,,,,,,
E4ROW,Active,Gaming,,,,,,,,2May17,2017-05-23,2017-05-18,May17,-5,-0.1666666667,-0.01369863014,,,,,,,,,,,,,,,,,,,
